fips,hh_size,hh_income,cost_housing,n_vehicles,hh_share_nonwhite,i_renter,i_moved,i_foodstamp,i_smartphone,i_internet,time_commuting
48113,3,18.22,880,3,1,0,0,0,1,1,63.333333333333336
55087,4,13.3,730,5,0,0,0,0,1,1,30
28047,4,5.68,790,3,0,0,0,0,1,1,30
20209,2,18.21,1200,2,0,0,0,0,1,1,14
26000,3,10.2,500,2,0,0,0,0,1,1,43.333333333333336
37071,2,11.75,830,3,0,0,0,0,1,1,65
41051,2,14,1400,2,0,1,0,0,1,1,45
53067,2,6.04,1000,2,0,0,0,0,1,1,40
34031,4,12.62,950,2,0,1,0,0,1,1,17.5
17031,4,16.4,2400,4,0,0,0,0,1,1,92.5
48201,1,1.5,720,1,0,1,0,0,1,1,40
30000,4,51.46,2000,2,0,0,0,0,1,1,7.5
06037,2,4.23,500,1,0,1,0,0,1,1,15
36061,2,2.5,750,0,1,1,0,0,1,1,30
25000,4,15,1600,2,0,0,0,0,1,1,55
32003,2,13.8,1800,2,0,0,1,0,1,1,35
12000,1,3.5,1100,1,0,1,0,0,1,1,60
24003,2,22.46,2300,3,0,0,0,0,1,1,65
13000,6,7.69,1300,4,0,0,1,0,1,1,15
13000,2,19.8,1100,2,1,0,1,0,1,1,60
36000,3,10.74,760,2,0,0,0,0,1,1,20
09011,2,12,1600,2,0,0,0,0,0,1,40
18000,3,22.5,2600,5,0,0,1,0,1,1,70
34029,2,5.4,1300,2,0,1,0,0,1,1,10
06019,2,8.6,1100,2,0,0,0,0,1,1,8
39000,2,6,800,2,0,0,0,0,1,1,65
26081,2,12.05,410,2,0,0,0,0,1,1,60
36087,2,8.6,1600,2,0.5,1,0,0,1,1,90
37000,2,11.4,980,3,0,0,0,0,1,1,35
22033,2,3.11,790,2,1,0,0,0,1,0,10
37000,2,5.67,620,1,1,1,0,0,1,1,8
39000,4,7.8,1100,2,0,0,0,0,1,1,10
34023,5,17.47,1900,2,1,0,1,0,1,1,18
11001,2,6,600,1,1,1,0,0,1,1,60
06097,2,27.7,4000,0,0.5,0,0,0,1,1,10
19113,5,6,1300,3,0,0,0,0,1,1,20
37135,1,5.5,1700,1,0,1,0,0,1,1,20
51650,2,8.484,550,2,0,1,0,0,0,1,15
55000,2,13,690,5,0,0,0,0,1,1,75
36063,1,5.72,850,1,0,0,0,0,1,1,50
27053,5,6.61,980,2,1,0,0,1,1,1,18
17000,2,5.24,440,3,0,0,0,0,1,1,76
36047,3,5.3,2000,1,1,0,0,0,0,1,132
06059,2,3.2,1300,1,0,1,0,0,1,1,60
17197,1,12,1200,1,0,1,0,0,1,1,180
37000,4,5.2,590,2,1,0,0,0,1,1,20
06037,3,28,2000,3,0,0,0,0,1,1,20
39061,2,4.9,700,3,0,0,0,0,1,1,30
06013,7,21.02,3200,4,1,0,0,0,1,1,22.285714285714285
02020,1,7.1,3400,2,0,0,0,0,1,1,60
06071,4,12.23,1500,2,0,0,0,0,1,1,60
49000,4,12.19,1700,2,0,1,0,0,1,1,75
41000,1,7.5,1100,1,0,0,0,0,1,1,40
12099,2,4.5,1500,2,0,0,0,0,1,1,30
29189,2,7.87,880,1,1,0,0,0,1,1,30
05143,3,10.796,990,2,0,0,0,0,1,1,13.333333333333334
22000,3,9.1,1200,2,1,0,0,0,1,1,14.666666666666666
42000,3,15.12,890,2,0,0,0,0,1,1,10
25003,2,13.8,1700,3,0,0,0,0,1,1,5
01000,5,8,870,3,0.2,0,0,0,1,1,18
48000,1,1.94,820,1,0,0,0,0,1,1,90
36103,5,13.58,2200,0,0,0,1,0,1,1,32
21000,3,5.65,510,1,0,0,0,0,1,1,42
37135,2,9.11,1400,4,0,0,0,0,1,1,45
18097,4,35,1800,2,0,0,0,0,1,1,40
12000,4,2,700,2,1,1,0,1,1,0,20
01097,2,5.2,900,1,0,0,0,0,1,1,40
01000,4,9,550,3,0,0,0,0,1,1,27.5
25000,2,28.7,900,2,0,0,0,0,1,1,40
53073,5,7,1200,3,0,0,0,0,1,1,8
28000,2,4.8,510,2,1,0,0,0,0,0,20
39113,3,16.16,2400,3,1,0,0,0,1,1,13.333333333333334
06095,4,8,1300,2,0,0,0,0,1,1,12.5
51000,2,16.2,2200,2,0,0,0,0,1,1,40
42000,3,7.6,980,2,0,0,0,0,1,1,33.333333333333336
45000,3,4.84,350,2,0,0,0,0,1,1,21.333333333333332
05125,5,42.8,1300,2,0.8,0,0,0,1,1,12
42000,4,7.7,650,2,0,0,0,0,1,1,32.5
06071,4,4.5,1400,2,0,0,0,0,1,1,22.5
36087,5,19,3500,2,0,0,0,0,1,1,28
13067,1,4,1700,2,0,0,0,0,1,1,20
36000,2,2.37,1000,3,0,0,0,0,1,1,2
47065,2,7.67,700,1,0,0,0,0,1,1,55
48085,4,15.27,1600,3,0,0,0,0,1,1,35
37183,2,16.5,2300,2,0,0,0,0,1,1,60
06071,1,10.2,2500,1,0,1,0,0,1,1,30
37000,3,6,710,2,0,0,0,1,1,1,36.666666666666664
48201,3,5.98,980,3,1,1,0,0,1,1,56.666666666666664
27053,4,20.102,1300,2,0,0,0,0,1,1,20
18105,2,46.85,1600,3,0,0,0,0,1,1,8
04013,4,2.76,1400,1,0,0,0,1,1,1,7.5
42000,2,7.84,730,2,0,0,0,0,0,1,70
11001,4,27.1,3300,2,0,0,0,0,1,1,35
34027,4,25.4,3500,4,0,1,0,0,1,1,30
06071,5,7,1400,2,1,0,0,0,1,1,38
12103,3,25,2600,2,0,0,0,0,1,1,10
08000,2,23.46,650,4,0,1,0,0,1,1,80
54000,3,9.1,670,2,0,0,0,0,1,1,36.666666666666664
48121,2,4.8,980,2,0.5,1,1,0,1,1,35
26081,1,4.5,1000,1,0,0,0,0,1,1,30
18163,2,1.05,840,2,0,1,1,0,1,1,7
12117,2,8.15,1000,2,0,0,0,0,1,1,20
36000,7,8.2,1200,2,0,0,0,0,1,1,9.142857142857142
42017,3,11.1,1700,2,1,1,0,1,1,1,13.333333333333334
04013,1,5,480,0,0,1,0,0,0,0,24
22000,3,3.2,740,1,1,1,0,0,1,0,16.666666666666668
41067,4,16,1600,2,0,0,0,0,1,1,15
06075,6,5.55,3200,2,0.3333333333333333,1,0,0,1,1,6.666666666666667
06073,4,11.5,2400,2,0,0,0,0,1,1,12.5
51760,3,6.53,850,1,1,1,1,0,1,1,46.666666666666664
37135,3,6,900,1,0,1,1,1,1,1,3.3333333333333335
41039,2,4.39,170,2,0,0,1,0,0,1,50
42091,9,15.5,2000,2,0,0,0,0,1,1,9.777777777777779
22033,4,40.88,1800,3,0,0,0,0,1,1,10
47157,3,18.2,900,2,0,0,0,0,1,1,26.666666666666668
48183,3,13,1200,3,0,0,0,0,1,1,3.3333333333333335
17031,2,13.1,660,1,1,1,0,1,1,1,10
37000,2,47.69,4100,3,0,0,0,0,1,1,15
41005,4,24.5,3000,6,0.75,0,0,0,1,1,35
25000,4,8.99,1500,2,0,0,0,0,1,1,90
40109,2,21,1400,2,0,0,0,0,1,1,60
20000,2,16.05,1500,2,0,0,0,0,1,1,10
55000,3,7.06,830,2,0,0,0,0,1,1,33.333333333333336
36061,1,2.8,1700,0,0,1,0,0,1,1,120
42051,2,15.3,1100,3,0,0,0,0,1,1,65
48000,2,9.16,620,2,0,0,0,0,1,1,35
49000,2,5.6,1100,1,0,0,0,0,1,1,20
10003,4,6.8,1500,3,0,0,0,0,1,1,20
41000,2,10.4,780,2,0,0,0,0,1,1,20
13000,1,23,1800,2,1,0,0,0,1,1,150
48439,3,5.73,1100,2,0,0,0,0,1,1,26.666666666666668
41000,2,8.5,1300,2,0,1,1,0,1,1,45
48201,1,18.7,2200,1,0,0,1,0,1,1,70
37183,3,7.76,1000,3,0.6666666666666666,0,1,0,1,1,20
26065,4,12.5,1400,1,0,0,0,0,1,1,12.5
17031,1,2.3,900,0,1,1,0,0,1,1,30
05119,2,2.57,600,0,1,1,0,0,1,0,15
48491,4,3.825,1000,1,1,1,0,1,1,1,20
49049,5,7.5,900,2,0,1,0,0,1,1,24
10003,2,4.97,1100,2,0,1,1,0,1,1,20
34035,4,12.15,1000,1,0.25,1,0,0,1,1,55
55000,2,5.31,1600,2,0,0,0,0,1,1,5
12000,3,12,1600,3,0,1,0,0,1,1,73.33333333333333
36081,2,13.6,2000,0,0.5,1,0,0,1,1,115
24031,6,7.2,1600,4,0.16666666666666666,0,0,0,1,1,33.333333333333336
06000,2,8.48,2000,2,0.5,0,0,0,1,1,45
48441,2,9.46,1100,2,0,0,0,0,1,1,25
37183,2,13,730,2,0,0,0,0,1,1,35
17031,4,6.86,1400,3,1,0,0,0,1,1,25
42000,6,19.98,900,4,0,0,0,0,1,1,66.66666666666667
34041,2,10.9,2000,4,0,0,0,0,1,1,75
55000,4,5.681,500,3,0,0,0,0,0,1,1.5
51041,2,8.4,1100,3,0,0,0,0,1,1,105
23001,5,1,900,2,1,1,1,0,1,1,6.8
47165,2,9.2,1800,2,0,0,0,0,1,1,22
13000,1,11.3,2800,2,0,0,1,0,1,1,50
06037,2,53.73,1100,2,1,0,0,0,0,0,40
39000,2,11.8,950,2,0,0,0,0,1,1,65
08000,2,20.2,4,3,1,0,0,0,1,1,50
30000,1,3,750,2,0,1,0,0,1,0,30
04005,1,4,400,4,0,0,0,0,1,0,80
31000,5,12,1400,2,0,0,0,0,1,1,2.4
53033,3,5.2,1200,1,1,0,0,0,1,1,16.666666666666668
36001,1,2,960,2,0,0,0,0,1,1,40
13077,1,2,1600,4,0,1,0,0,1,1,40
39007,4,1.53,650,2,0,1,0,0,1,1,17.5
51000,2,4.3,440,2,0,0,0,0,1,1,35
06065,3,11.876,1400,3,0,0,0,0,1,1,36.666666666666664
06059,3,9.6,2400,2,0,1,0,0,1,1,46.666666666666664
17111,2,8.7,1300,2,0,1,1,0,1,1,60
51087,2,11.2,1500,4,1,0,0,0,1,1,70
25000,1,8.35,900,1,0,0,0,0,1,1,40
47037,3,7.712,980,2,0,0,0,0,1,1,20
13000,1,2.22,370,1,0,0,0,0,0,1,20
36093,3,6.478,950,0,0.6666666666666666,1,0,0,1,1,36.666666666666664
06065,5,9.3,2000,3,1,0,0,0,1,1,32
26125,2,10.5,850,2,0,0,0,0,1,1,65
42000,1,5.5,1000,1,0,0,0,0,1,1,40
17031,4,14.05,2000,2,1,0,0,0,1,1,12.5
48453,3,1.845,1500,2,0,1,0,0,1,1,26.666666666666668
06077,2,21.5,1500,2,1,1,1,0,1,1,19
34029,2,32,1600,2,0,0,0,0,1,1,10
48000,4,9,1300,2,0,0,0,0,1,1,45
12105,4,25.5,1500,2,1,0,0,0,1,1,10
34041,2,6.2,1500,4,0,0,0,0,1,1,30
42129,4,10,570,3,0,0,0,1,1,1,11.5
06037,4,22.1,1500,5,0,0,0,0,1,1,17.5
24031,2,21.6,3300,2,0,1,1,0,1,1,55
17000,1,2.9,390,1,0,1,0,0,1,1,10
35000,1,1,530,1,0,1,0,0,0,0,2
36103,4,13.02,2800,3,0,0,0,0,1,1,4
36059,2,120.8,7000,3,0,0,0,0,1,1,65
06077,3,74.14,3200,2,0,0,0,0,1,1,10
39035,3,6.15,1200,2,0,1,1,1,1,1,44
48085,2,12,1000,2,0,1,0,0,1,1,30
06037,4,22.5,4400,3,0,0,0,0,1,1,73
06085,2,2,1800,2,0,0,0,0,1,1,2
12053,2,5.22,520,2,0,0,0,0,1,1,40
08000,4,19.3,1200,4,0,0,1,0,1,1,35
17031,3,9.5,1600,2,1,0,0,0,1,1,36.666666666666664
17043,4,3.8,1600,3,0,0,0,0,1,1,25
32031,1,0.2,1100,0,0,1,0,0,0,0,40
12000,2,4.5,1300,2,0,1,0,0,0,1,20
36000,6,2.4,500,1,0,1,1,1,0,1,20
36029,2,8.65,1200,2,0.5,1,0,0,1,1,75
36000,4,4.5,3100,1,0,1,1,0,1,1,30
42017,2,5.5,1600,2,0,1,1,0,1,1,35
24033,1,7,1300,1,1,0,0,0,1,1,40
05000,4,8.4,100,2,0,0,0,0,1,1,12.5
48201,4,3,750,2,1,1,0,0,1,1,5
50000,1,4.4,560,1,0,0,0,0,1,1,50
39000,3,4.383,880,2,0,0,0,0,1,1,40
36000,2,12.5,450,2,0,0,0,0,1,1,45
37051,2,9.6,950,2,0.5,1,1,0,1,1,15
48355,2,7.26,1300,2,0,1,0,1,0,1,15
55000,1,0.324,620,1,0,0,0,0,1,1,70
39049,3,11.1,140,3,0,0,0,0,1,1,16.666666666666668
04013,3,8.45,630,2,0,1,0,1,1,1,80
11001,1,16.1,2400,1,0,1,0,0,1,1,60
24033,1,1,1500,1,1,1,1,0,1,1,10
39113,5,1.8,670,1,0.8,1,1,1,1,1,16
42019,3,9.41,160,4,0,0,0,0,1,1,6.666666666666667
41005,1,2,600,1,0,1,0,1,0,0,10
29000,3,12.521,1400,4,0,0,1,0,1,1,65.33333333333333
06037,4,2.65,1100,0,1,1,0,1,1,1,30
12097,2,5.3,770,1,1,1,0,0,1,1,30
26125,8,14.63,2200,4,1,0,0,0,1,1,14.25
45083,2,1.1,700,1,0,1,0,1,1,1,30
19000,3,11.253,1100,4,0,0,0,0,1,1,30
12105,2,16.8,1000,3,0,0,0,0,1,1,30
